Species,Familia,Endemismo,Caliza_1,Caliza_2,Caliza_3,Caliza_4,Caliza_5,Caliza_6,Caliza_7,Caliza_8,Dolomía_1,Dolomía_2,Dolomía_3,Dolomía_4,Bosque_1,Bosque_2,Bosque_3,Bosque_4,Bosque_5,Bosque_6,Matorral_1,Matorral_2,Matorral_3,Matorral_4,Matorral_5,Matorral_6
Hedysarum_boveanum_europaeum,Leguminosae,NO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.6,0,0,0,0,0,0
Phagnalon_rupestre,Compositae,NO,0,0,0,0,0,0,0,0,0,0,0,0,0.44,0,0,0,0,0,0,0,0,0,0,0
Phagnalon_saxatile,Compositae,NO,0,0,0,0,0,3.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Phillyrea_angustifolia,Oleaceae,NO,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Phlomis_lychnitis,Labiatae,NO,0,0,0,0,0,0,3.8,0.2,0,0,0,0.8,20.36,0.6,0,0,0,0.2,0.4,0,1.4,2,0,0.84
Phlomis_purpurea,Labiatae,SI,22.2,20,3.85,0,0,15.41,5.2,0.2,0,0,0,0,8.26,33.6,16.6,54.12,20.6,8.8,14.2,5.48,12.2,6.6,0,0
Pinus_halepensis,Pinaceae,NO,0,0,0,0,0,0,0,0,0,0,0,0,0,3.8,0,0,6.4,1.4,0,0,0,0,0,0
Pistacia_lentiscus,Anacardiaceae,NO,0,0,0,0,1,0,0,0,0,0,0,0,1.24,0,0,6.88,2.2,0,4.6,0,0,0,0,0
Pistacia_terebinthus,Anacardiaceae,NO,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0
Polygala_rupestris,Polygalaceae,NO,0,0,0,0,0,0,0,0,0,0,0,0.6,0,0,0,0,0,0,0,0,0,0,0,0
Ptilostemon_hispanicus,Compositae,SI,1.4,0,0,0,1.7,0,0,0,0,3.8,2.4,3.4,0,0,0,0,0,0,0,0,0,0,0,0
Putoria_calabrica,Rubiaceae,NO,0,0,0,0,0,0,0,0,0,5.2,0,7,0,0,0,0,0,0,0,0,0,0,0,0
Quercus_coccifera,Fagaceae,NO,0,0,0,0,0,0,0,1,0,0,0,0,4.68,2.6,50.2,65.4,13.8,5.4,39,14.22,9.6,0,0,0
Quercus_ballota_rotundifolia,Fagaceae,NO,0,0,1.3,1.3,0.3,0,0,12.2,0,2.6,0,0,3.06,1.8,4.6,0,20.6,5.6,3.6,0,14.4,0,0,0
Quercus_suber,Fagaceae,NO,0,0,0,0,1.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Retama_sphaerocarpa,Leguminosae,SI,26.4,1.8,1.4,2.9,8.5,0,0,0,14.2,6.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rhamnus_alaternus,Rhamnaceae,NO,0,6,0,0,0,0,0,0,0,0,0,0,5.94,0,0,0,3.2,0,0,0,0,0,0,0
Rhamnus_myrtifolia,Rhamnaceae,NO,0,0,0,0,0,0,0,0,0,0,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0
Rhamnus_lycioides_oleoides,Rhamnaceae,NO,0,0,0,0,0.75,0,0,0,0,4,0,0,10.92,2.8,5,2.2,4.8,2.4,6.4,2.74,0.4,0,0,2.16
Rosa_canina,Rosaceae,NO,0,0,0,0,0,0,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Salvia_rosmarinus,Labiatae,NO,0,0,0,0,4.87,0,0,0,0,0,0,0,22.8,0,0,0,0,10.8,11.2,2.94,0,52.8,34,46.68
Rubia_peregrina,Rubiaceae,NO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.96,6.8,0,0,0,0,0,0,0
Rubus_ulmifolius,Rosaceae,NO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.2,0,0,0,0,0,0,0
Ruta_angustifolia,Rutaceae,NO,0,0,8.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Scrophularia_canina_canina,Scrophulariaceae,NO,0,0,0,0,0,0,0,0,11.7,2.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sedum_sediforme,Crassulaceae,NO,0,1.6,0,0,0,0,0,0,1.4,0,0,0,0,0,0,0,0,0,0,0,0,0.8,3.8,1
Smilax_aspera,Smilacaceae,NO,0,0,0,0,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Staehelina_dubia,Compositae,NO,0,0,0,0,0,0,0,1.4,0,0,0,0,18.92,2.8,0.8,0.7,0,1.2,0,0,0,0,0,0
Teucrium_capitatum_capitatum,Labiatae,NO,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0,0,0,0.4,0,0,0,1.2,0,0.66
Teucrium_fruticans,Labiatae,NO,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Teucrium_lusitanicum_lusitanicum,Labiatae,SI,0,0,0,0,0,0,0.4,0,0,0,43,3.6,0,0,0,0,0,0,0,0,0,0,0,0
Teucrium_webbianum,Labiatae,SI,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0
Thesium_humifusum,Santalaceae,NO,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0
Thymus_granatensis_granatensis,Labiatae,SI,0,0,0,0,0,0,0,0,0,0,55.4,25.6,0,0,0,0,0,0,0,0,0,0,0,0
Thymus_mastichina,Labiatae,NO,3.4,5.2,2.45,0.5,0,2.9,9.2,18.8,16.3,4.8,0,0.8,5.64,1.6,0.2,4.64,0,0.6,4.2,1.9,4,1.6,1.6,0.32
Ulex_baeticus,Leguminosae,SI,0,0,0,0,48.2,0,26,3.4,0,0,26.4,23.2,10.74,43,5.4,10.44,4.8,11.2,2.2,22.2,0.4,5.4,0,0
Vinca_difformis,Apocynaceae,NO,21,0,0.25,1.05,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
