"","SORTER","Submitted_Name","Submitted_Author","Submitted_Genus","Submitted_Rank","Name_in_database","Author_in_database","Genus_in_database","Rank_in_database","ID_in_database","Name_set","Fuzzy","Score","name.dist","author.dist","New_name","New_author","New_ID","Family","Name_spLev","Accepted_SPNAME","NOTE"
"28",1,"Pinus halepensis","","Pinus",2,"Pinus halepensis"," Mill.","Pinus",2,407983,1,FALSE,0.8,0,NA,NA,NA,NA,"Pinaceae",NA,"Pinus halepensis",NA
"35",2,"Quercus rotundifolia","","Quercus",2,"Quercus rotundifolia","Lam.","Quercus",2,206026,1,FALSE,0.8,0,NA,NA,NA,NA,"Fagaceae",NA,"Quercus rotundifolia",NA
"46",3,"Ulex baeticus","","Ulex",2,"Ulex baeticus"," Boiss.","Ulex",2,172000,1,FALSE,0.8,0,NA,NA,NA,NA,"Fabaceae",NA,"Ulex baeticus",NA
"37",4,"Rhamnus lycioides ssp. oleoides","","Rhamnus",3,"Rhamnus lycioides ssp. oleoides","(L.) Jahand. & Maire","Rhamnus",3,791400,1,FALSE,0.8,0,NA,"Rhamnus oleoides ssp. oleoides",NA,196048,"Rhamnaceae",NA,"Rhamnus oleoides",NA
"9",5,"Cistus albidus","","Cistus",2,"Cistus albidus","L.","Cistus",2,233419,1,FALSE,0.8,0,NA,NA,NA,NA,"Cistaceae",NA,"Cistus albidus",NA
"27",6,"Phlomis purpurea","","Phlomis",2,"Phlomis purpurea"," L.","Phlomis",2,329504,1,FALSE,0.8,0,NA,NA,NA,NA,"Lamiaceae",NA,"Phlomis purpurea",NA
"26",7,"Phlomis lychnitis","","Phlomis",2,"Phlomis lychnitis","L.","Phlomis",2,329484,1,FALSE,0.8,0,NA,NA,NA,NA,"Lamiaceae",NA,"Phlomis lychnitis",NA
"48",8,"Juniperus oxycedrus subsp.oxycedrus","","Juniperus",2,"Juniperus oxycedrus"," L.","Juniperus",2,15727,1,TRUE,0,16,NA,NA,NA,NA,"Cupressaceae",NA,"Juniperus oxycedrus",NA
"42",9,"Staehelina dubia","","Staehelina",2,"Staehelina dubia","L.","Staehelina",2,357857,1,FALSE,0.8,0,NA,NA,NA,NA,"Asteraceae",NA,"Staehelina dubia",NA
"30",10,"Pistacia lentiscus","","Pistacia",2,"Pistacia lentiscus"," L.","Pistacia",2,225220,1,FALSE,0.8,0,NA,NA,NA,NA,"Anacardiaceae",NA,"Pistacia lentiscus",NA
"39",11,"Salvia rosmarinus","","Salvia",2,"Salvia rosmarinus","Schleid.","Salvia",2,322315,1,FALSE,0.8,0,NA,NA,NA,NA,"Lamiaceae",NA,"Salvia rosmarinus",NA
"21",12,"Olea europaea var. sylvestris","","Olea",3,"Olea europaea var. sylvestris","(Mill.) Lehr","Olea",3,1007921,1,FALSE,0.8,0,NA,"Olea europaea ssp. oleaster","(Hoffmanns. &  Link) Negodi",309980,"Oleaceae",NA,"Olea europaea",NA
"36",13,"Rhamnus alaternus","","Rhamnus",2,"Rhamnus alaternus"," L.","Rhamnus",2,195951,1,FALSE,0.8,0,NA,NA,NA,NA,"Rhamnaceae",NA,"Rhamnus alaternus",NA
"32",14,"Quercus coccifera","","Quercus",2,"Quercus coccifera","L.","Quercus",2,205733,1,FALSE,0.8,0,NA,NA,NA,NA,"Fagaceae",NA,"Quercus coccifera",NA
"8",15,"Brachypodium retusum","","Brachypodium",2,"Brachypodium retusum","(Pers.) P.Beauv.","Brachypodium",2,107757,1,FALSE,0.8,0,NA,NA,NA,NA,"Poaceae",NA,"Brachypodium retusum",NA
"45",16,"Thymus mastichina ssp. mastichina","","Thymus",3,"Thymus mastichina ssp. mastichina",NA,"Thymus",3,325757,1,FALSE,0.8,0,NA,NA,NA,NA,"Lamiaceae",NA,"Thymus mastichina",NA
"44",17,"Thymbra capitata","","Thymbra",2,"Thymbra capitata","(L.) Cav.","Thymbra",2,1037093,1,FALSE,0.8,0,NA,"Coridothymus capitatus","(L.) Rchb.fil.",325583,"Lamiaceae",NA,"Coridothymus capitatus",NA
"14",18,"Genista umbellata","","Genista",2,"Genista umbellata"," (L?Hér.) Poir.","Genista",2,171970,1,FALSE,0.8,0,NA,NA,NA,NA,"Fabaceae",NA,"Genista umbellata",NA
"20",19,"Macrochloa tenacissima","","Macrochloa",2,"Macrochloa tenacissima"," (L.) Kunth","Macrochloa",2,107015,1,FALSE,0.8,0,NA,NA,NA,NA,"Poaceae",NA,"Macrochloa tenacissima",NA
